timestamp,open,high,low,close,volume,time
1737482400000,39.8,45.09,39.7,43.11,443087.159,2025-01-21 18:00:00+00:00
1737486000000,43.1,44.71,41.06,41.96,408741.372,2025-01-21 19:00:00+00:00
1737489600000,41.97,44.91,41.65,43.88,487537.981,2025-01-21 20:00:00+00:00
1737493200000,43.88,49.26,43.35,48.0,813874.891,2025-01-21 21:00:00+00:00
1737496800000,48.0,48.59,40.11,40.7,719347.06,2025-01-21 22:00:00+00:00
1737500400000,40.68,45.29,35.0,43.84,1293934.676,2025-01-21 23:00:00+00:00
1737504000000,43.84,44.53,42.43,42.95,390351.677,2025-01-22 00:00:00+00:00
1737507600000,42.94,43.45,40.7,42.01,374350.888,2025-01-22 01:00:00+00:00
1737511200000,42.01,42.93,40.93,41.18,254661.324,2025-01-22 02:00:00+00:00
1737514800000,41.18,42.15,40.74,41.29,248669.3,2025-01-22 03:00:00+00:00
1737518400000,41.3,41.8,40.48,41.78,207652.13,2025-01-22 04:00:00+00:00
1737522000000,41.79,43.63,41.59,43.62,265432.564,2025-01-22 05:00:00+00:00
1737525600000,43.58,43.82,42.22,43.01,152633.5,2025-01-22 06:00:00+00:00
1737529200000,43.01,43.89,42.38,42.51,120400.755,2025-01-22 07:00:00+00:00
1737532800000,42.53,42.66,40.87,41.65,123679.655,2025-01-22 08:00:00+00:00
1737536400000,41.65,42.05,41.14,41.71,37648.249,2025-01-22 09:00:00+00:00
1737540000000,41.72,42.39,41.12,41.73,58450.545,2025-01-22 10:00:00+00:00
1737543600000,41.67,42.4,41.38,42.12,63254.208,2025-01-22 11:00:00+00:00
1737547200000,42.11,42.44,41.56,42.08,88882.63,2025-01-22 12:00:00+00:00
1737550800000,42.06,42.77,41.5,41.75,133697.026,2025-01-22 13:00:00+00:00
1737554400000,41.75,41.83,39.1,40.14,241904.378,2025-01-22 14:00:00+00:00
1737558000000,40.14,40.3,38.15,38.72,267070.16,2025-01-22 15:00:00+00:00
1737561600000,38.72,39.16,37.8,38.9,235889.65,2025-01-22 16:00:00+00:00
1737565200000,38.9,39.91,38.6,39.17,202427.282,2025-01-22 17:00:00+00:00
1737568800000,39.19,39.44,37.36,38.02,182581.636,2025-01-22 18:00:00+00:00
1737572400000,38.05,39.28,37.44,39.15,147454.182,2025-01-22 19:00:00+00:00
1737576000000,39.15,39.8,39.0,39.43,137408.201,2025-01-22 20:00:00+00:00
1737579600000,39.43,39.74,38.44,38.55,175407.584,2025-01-22 21:00:00+00:00
1737583200000,38.55,38.77,37.01,37.24,132689.679,2025-01-22 22:00:00+00:00
1737586800000,37.17,37.62,35.91,36.82,277039.447,2025-01-22 23:00:00+00:00
1737590400000,36.81,38.56,36.02,37.93,301125.858,2025-01-23 00:00:00+00:00
1737594000000,37.95,39.22,37.7,38.15,316356.457,2025-01-23 01:00:00+00:00
1737597600000,38.17,38.26,37.37,37.97,155492.148,2025-01-23 02:00:00+00:00
1737601200000,37.97,38.1,37.19,37.48,103606.96,2025-01-23 03:00:00+00:00
1737604800000,37.48,37.55,36.48,36.94,134948.627,2025-01-23 04:00:00+00:00
1737608400000,36.94,37.7,36.91,37.67,71403.598,2025-01-23 05:00:00+00:00
1737612000000,37.67,37.67,36.6,36.76,92719.817,2025-01-23 06:00:00+00:00
1737615600000,36.76,37.56,36.03,37.12,132605.214,2025-01-23 07:00:00+00:00
1737619200000,37.14,37.23,36.33,36.55,95452.297,2025-01-23 08:00:00+00:00
1737622800000,36.53,36.7,35.52,35.78,125601.369,2025-01-23 09:00:00+00:00
1737626400000,35.79,36.29,35.19,35.68,122908.218,2025-01-23 10:00:00+00:00
1737630000000,35.66,36.34,35.66,36.15,88300.81,2025-01-23 11:00:00+00:00
1737633600000,36.13,36.18,35.01,35.52,136391.563,2025-01-23 12:00:00+00:00
1737637200000,35.5,35.93,34.12,35.47,283929.902,2025-01-23 13:00:00+00:00
1737640800000,35.47,38.17,34.75,37.02,497709.933,2025-01-23 14:00:00+00:00
1737644400000,37.03,38.5,35.55,38.01,663717.383,2025-01-23 15:00:00+00:00
1737648000000,37.99,39.74,37.06,37.23,450066.582,2025-01-23 16:00:00+00:00
1737651600000,37.25,37.33,36.57,37.06,187237.972,2025-01-23 17:00:00+00:00
1737655200000,37.06,37.18,35.93,36.01,211727.667,2025-01-23 18:00:00+00:00
1737658800000,36.0,36.25,35.31,35.64,135207.406,2025-01-23 19:00:00+00:00
1737662400000,35.61,37.74,35.53,35.81,417493.422,2025-01-23 20:00:00+00:00
1737666000000,35.82,35.89,34.11,34.69,263295.015,2025-01-23 21:00:00+00:00
1737669600000,34.68,35.37,34.57,35.27,146394.019,2025-01-23 22:00:00+00:00
1737673200000,35.29,35.5,34.59,34.71,163141.145,2025-01-23 23:00:00+00:00
1737676800000,34.68,34.99,33.08,33.19,327187.036,2025-01-24 00:00:00+00:00
1737680400000,33.21,33.72,32.04,32.37,291899.048,2025-01-24 01:00:00+00:00
1737684000000,32.36,32.78,31.83,32.3,252348.349,2025-01-24 02:00:00+00:00
1737687600000,32.29,33.43,32.03,33.15,240194.889,2025-01-24 03:00:00+00:00
1737691200000,33.13,33.93,32.75,33.86,194820.569,2025-01-24 04:00:00+00:00
1737694800000,33.84,34.86,33.67,34.79,330449.272,2025-01-24 05:00:00+00:00
1737698400000,34.77,34.97,34.09,34.53,135580.702,2025-01-24 06:00:00+00:00
1737702000000,34.55,34.91,34.16,34.4,90379.985,2025-01-24 07:00:00+00:00
1737705600000,34.4,35.44,34.11,35.1,106318.49,2025-01-24 08:00:00+00:00
1737709200000,35.1,35.21,34.44,34.62,87786.987,2025-01-24 09:00:00+00:00
1737712800000,34.61,34.68,34.1,34.65,77163.773,2025-01-24 10:00:00+00:00
1737716400000,34.66,34.69,34.11,34.35,54982.095,2025-01-24 11:00:00+00:00
1737720000000,34.35,34.47,33.37,34.0,120598.212,2025-01-24 12:00:00+00:00
1737723600000,33.97,34.33,33.78,33.86,88099.654,2025-01-24 13:00:00+00:00
1737727200000,33.86,34.2,33.5,33.7,124140.465,2025-01-24 14:00:00+00:00
1737730800000,33.68,33.77,32.76,33.09,135815.018,2025-01-24 15:00:00+00:00
1737734400000,33.09,33.45,32.54,32.68,84875.406,2025-01-24 16:00:00+00:00
1737738000000,32.66,33.91,32.44,33.56,221925.627,2025-01-24 17:00:00+00:00
1737741600000,33.55,33.87,33.3,33.4,76445.133,2025-01-24 18:00:00+00:00
1737745200000,33.39,33.48,32.56,32.79,102720.824,2025-01-24 19:00:00+00:00
1737748800000,32.79,32.86,31.04,31.56,229842.186,2025-01-24 20:00:00+00:00
1737752400000,31.57,31.95,31.3,31.57,169138.89,2025-01-24 21:00:00+00:00
1737756000000,31.56,31.6,30.52,30.61,186728.767,2025-01-24 22:00:00+00:00
1737759600000,30.61,30.77,29.05,30.19,382057.481,2025-01-24 23:00:00+00:00
1737763200000,30.19,30.19,27.27,27.91,718089.094,2025-01-25 00:00:00+00:00
1737766800000,27.91,29.27,27.77,28.73,485226.162,2025-01-25 01:00:00+00:00
1737770400000,28.72,29.23,28.26,28.46,262744.123,2025-01-25 02:00:00+00:00
1737774000000,28.46,29.84,28.1,29.51,249384.686,2025-01-25 03:00:00+00:00
1737777600000,29.51,29.52,28.38,28.63,212901.225,2025-01-25 04:00:00+00:00
1737781200000,28.62,28.79,27.98,28.14,195881.619,2025-01-25 05:00:00+00:00
1737784800000,28.14,28.84,27.83,27.95,148714.822,2025-01-25 06:00:00+00:00
1737788400000,27.95,28.12,27.3,27.56,233432.33,2025-01-25 07:00:00+00:00
1737792000000,27.56,28.27,27.4,27.58,254942.703,2025-01-25 08:00:00+00:00
1737795600000,27.59,27.88,26.3,26.59,396959.437,2025-01-25 09:00:00+00:00
1737799200000,26.6,26.62,25.71,26.43,346560.762,2025-01-25 10:00:00+00:00
1737802800000,26.44,28.49,26.44,26.91,343414.909,2025-01-25 11:00:00+00:00
1737806400000,26.89,27.12,26.42,27.11,176693.007,2025-01-25 12:00:00+00:00
1737810000000,27.1,28.25,27.1,27.58,340191.876,2025-01-25 13:00:00+00:00
1737813600000,27.57,27.68,27.12,27.51,161632.381,2025-01-25 14:00:00+00:00
1737817200000,27.51,28.05,27.12,27.4,251999.168,2025-01-25 15:00:00+00:00
1737820800000,27.4,27.89,26.86,27.74,223219.111,2025-01-25 16:00:00+00:00
1737824400000,27.74,29.49,27.6,29.46,330574.597,2025-01-25 17:00:00+00:00
1737828000000,29.44,29.99,28.76,28.94,264827.725,2025-01-25 18:00:00+00:00
1737831600000,28.94,29.29,28.64,29.07,184426.993,2025-01-25 19:00:00+00:00
